,Country,Year,pop,Region,co2_mtco2,coalcons_mtoe,coalprod_mtoe,gascons_mtoe,gasprod_mtoe,hydro_mtoe,hydro_twh,nuclear_mtoe,nuclear_twh,oilcons_mtoe,oilprod_mt,primary_gj_pc,primary_mtoe,renewables_mtoe,renewables_twh,solar_mtoe,solar_twh,wind_mtoe,wind_twh,$ money of the day,$ 2018
301,Total North America,1996,394.113008,,6160.337571,535.4025191000001,591.3629737000001,617.9933934999999,597.5538962,165.9677405,733.4778322999999,183.3376635,810.2424702000001,1025.057862,659.8711622999999,270.51405689999996,2546.410354,18.65117488,82.42700227,0.125183499,0.553235954,0.754567671,3.334736364,20.668488372093,33.078407327285895
302,Total North America,1997,399.32144,,6294.498256,547.2475415,605.5293019,622.5920946,603.9357458,165.4104267,731.0148396000001,170.64446819999998,754.146163,1042.994332,670.2736829,269.23395730000004,2567.853528,18.96466489,83.81244000000001,0.123465424,0.545643096,0.768259826,3.395247475,19.0925875486381,29.870918265270202
303,Total North America,1998,404.542193,,6363.489885,554.3612181,620.6401836,614.2866437000001,615.5341832,153.3131519,677.5521434,178.62510830000002,789.4158035,1064.2363,666.6916282000001,267.4226234,2583.924107,19.10168546,84.41798874,0.122587819,0.541764609,0.708978274,3.133258586,12.7156614785992,19.58890556384423
304,Total North America,1999,409.61674,,6415.06084,552.5161941,601.1445466,621.0190238,614.7149747999999,157.1069115,694.3182846,192.2362334,849.56881,1089.914076,639.1149052000001,269.0663072,2632.417684,19.62524473,86.73180655,0.12187293,0.538605228,1.06628305,4.712331313,17.9700778210117,27.08530811164937
305,Total North America,2000,414.43822400000005,,6627.541568,577.6834577000001,586.0859026,647.9146069,626.2111997000001,149.92901940000002,662.5963082999999,197.7847,874.0897034,1104.545745,642.5001288999999,272.54575800000003,2697.84513,19.98760054,88.33320181,0.122626082,0.541933707,1.342435305,5.932758586,28.49544921875,41.552884825625185
306,Total North America,2001,418.944191,,6512.598889,563.6098159,604.7340664,619.8544619,640.1160072,129.02121540000002,570.1963592999999,202.3309207,894.1812707999999,1103.095023,646.0958833,263.67265249999997,2638.390324,20.47888783,90.50439689,0.13620174699999998,0.601930003,1.61840631,7.152384848,24.4438910505837,34.65856662924293
307,Total North America,2002,423.18334400000003,,6558.038953,568.4119394999999,579.2164311,643.7201748,623.971685,143.0745821,632.3038082,204.97504469999998,905.8667127,1103.020133,652.3139053,265.71188739999997,2685.698984,22.4971092,99.42372440000001,0.14308151300000002,0.63233444,2.462974315,10.88486869,25.0232558139535,34.92781933115298
308,Total North America,2003,427.295883,,6637.166028000001,575.1635038,562.1748908,633.2624817000001,626.6063761,141.6397107,625.9625373,201.11378,888.8022392999999,1124.0913480000002,660.9696222,264.3576223,2697.97754,22.70671609,100.35006109999999,0.145142733,0.641443792,2.717443704,12.00947071,28.830703125,39.345605269616165
309,Total North America,2004,431.484324,,6746.553347,576.9188383,583.5391151,636.6891119,616.3992501,141.67746719999997,626.1293987,210.20539240000002,928.9817111,1166.733463,660.1510677,267.4195832,2755.9797,23.75542742,104.98473590000002,0.163233832,0.7213955959999999,3.4510583039999996,15.25160707,38.265,50.866116225516144
310,Total North America,2005,435.889709,,6809.1114689999995,587.2640941000001,592.5716891,631.5141612000001,612.9880883999999,148.4574692,656.0929394999999,209.38327560000002,925.3484481,1170.619158,637.7610412,266.2729284,2772.179929,24.94177101,110.2276628,0.175674145,0.776374318,4.426269072,19.56145354,54.5210894941634,70.1004977962667
